,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,total_points,hp,attack,defense,sp_attack,sp_defense,speed
0,1,Bulbasaur,1,Normal,Seed Pokémon,2,Grass,Poison,0.7,6.9,2,Overgrow,318,45,49,49,65,65,45
1,2,Ivysaur,1,Normal,Seed Pokémon,2,Grass,Poison,1,13,2,Overgrow,405,60,62,63,80,80,60
2,3,Venusaur,1,Normal,Seed Pokémon,2,Grass,Poison,2,100,2,Overgrow,525,80,82,83,100,100,80
3,3,Mega Venusaur,1,Normal,Seed Pokémon,2,Grass,Poison,2.4,155.5,1,Thick Fat,625,80,100,123,122,120,80
4,4,Charmander,1,Normal,Lizard Pokémon,1,Fire,,0.6,8.5,2,Blaze,309,39,52,43,60,50,65
5,5,Charmeleon,1,Normal,Flame Pokémon,1,Fire,,1.1,19,2,Blaze,405,,64,58,80,65,80
6,6,Charizard,1,Normal,Flame Pokémon,2,Fire,Flying,1.7,90.5,2,Blaze,534,78,84,,109,85,100
7,6,Mega Charizard X,1,Normal,Flame Pokémon,2,Fire,Dragon,1.7,110.5,1,Tough Claws,634,78,130,111,130,85,100
8,6,Mega Charizard Y,1,Normal,Flame Pokémon,2,Fire,Flying,1.7,100.5,1,Drought,634,78,,,,,
9,7,Squirtle,1,Normal,Tiny Turtle Pokémon,1,water,,0.5,9,2,Torrent,314,44,48,65,50,64,43
10,8,Wartortle,1,Normal,Turtle Pokémon,1,water,,1,22.5,2,Torrent,405,59,63,80,65,80,58
11,9,Blastoise,1,Normal,Shellfish Pokémon,1,water,,1.6,85.5,2,Torrent,530,79,83,,85,105,78
12,9,Mega Blastoise,1,Normal,Shellfish Pokémon,1,water,,1.6,101.1,1,Mega Launcher,630,79,103,120,135,115,78
13,10,Caterpie,1,Normal,Worm Pokémon,1,Bug,,0.3,2.9,2,Shield Dust,195,45,30,35,20,20,45
14,11,Metapod,1,Normal,Cocoon Pokémon,1,Bug,,0.7,9.9,1,Shed Skin,205,50,20,55,25,25,30
15,12,Butterfree,1,Normal,Butterfly Pokémon,2,Bug,Flying,1.1,32,2,Compound Eyes,395,,45,50,90,80,70
16,13,Weedle,1,Normal,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,2,Shield Dust,195,40,35,30,20,20,50
17,14,Kakuna,1,Normal,Cocoon Pokémon,2,Bug,Poison,0.6,10,1,Shed Skin,205,,25,,25,25,35
18,15,Beedrill,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1,29.5,2,Swarm,395,65,90,,,80,75
19,15,Mega Beedrill,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1.4,40.5,1,Adaptability,495,65,150,,15,80,145
20,16,Pidgey,1,Normal,Tiny Bird Pokémon,2,normal,Flying,0.3,1.8,3,Keen Eye,251,40,45,40,35,35,56
21,17,Pidgeotto,1,Normal,Bird Pokémon,2,normal,Flying,1.1,30,3,Keen Eye,349,63,60,55,50,50,71
22,18,Pidgeot,1,Normal,Bird Pokémon,2,normal,Flying,1.5,39.5,3,Keen Eye,479,83,80,75,70,70,101
